palavra correta;palavra digitada;px;p1;p2;p3;p4;p1_lx;p1_l1;p1_l2;p1_l3;p1_l4
america;ameraca;6;7;11;48;55;camera;camera;camera;camera;camera
america;Amercia;27;1;103;73;81;mercia;america;mercia;mercia;mercia
american;ameracan;6;5;6;6;109;cameraman;americana;camera;camera;camera
april;apirl;1;1;1313;8632;7797;april;april;pirl;pirl;pirl
austrian;austrain;18;1;95;76;87;strain;austrian;strain;strain;strain
badcock's;badcock;0;0;0;0;0;bawcock;bawcock;bawcock;cock;woodcock
bechuanaland;bechuarnia_land;1;1;1;1;1;bechuanaland;bechuanaland;bechuanaland;bechuanaland;bechuanaland
botswana;botuania;47;340;141;774;18392;botanic;ouabain;bosnian;tuan;lithuania
cambridge;cambrige;1;3;1;4;4;cambridge;bregmatic;cambridge;cambria;cambria
canada;canda;22288;1;15;354;22440;adunc;canada;candida;scandal;scandal
chautauqua;chactuquoe;3;199;10;59;26146;queach;cartouche;character;actus;actus
chautauqua;Chalktwa;26268;3356;2280;1656;26148;catwalk;catwalk;chalk;chalk;chalk
chautauqua;Chatacqua;2;1;5;153;26202;quatch;chautauqua;attach;acquaint;acquaint
chautauqua;Chatacque;31;100;61;2368;26209;queach;catechu;hacqueton;sacque;sacque
chautauqua;Chatalkwa;26242;461;636;2378;26242;catwalk;catwalk;chalk;walkway;walkway
chautauqua;Chataqua;2;1;5;111;26152;quatch;chautauqua;aquatinta;aqua;aqua
chautauqua;Chataque;11;39;22;2133;26182;haqueton;chateau;chatta;chat;chat
chautauqua;Chataukowa;26174;72;20;65;26140;thataway;autorickshaw;chatta;chat;chat
chautauqua;Chataukwa;9;30;22;67;26140;kwacha;awatch;chatta;chat;chat
chautauqua;Chatauwkwa;26135;30;20;72;26140;kwacha;awatch;chatta;chat;chat
chautauqua;Chateau;26785;859;720;4176;26207;chateau;chateau;chateau;chateau;chateau
chautauqua;Chatocqua;8;65;34;83;26176;quatch;cachalot;quatch;atoc;chatoyant
chautauqua;Chatogua;26311;685;249;2033;26184;guacharo;guacharo;chat;chat;chatoyant
chautauqua;Chatoukouv;26124;522;3234;2049;26187;atokous;kurchatovium;atokous;soukous;soukous
chautauqua;Chattakqua;2;1;8;165;26205;chatta;chautauqua;chatta;chatta;chatta
chautauqua;Chatuaca;59;20;567;1656;26147;aguacate;cutcha;achates;chat;chat
chautauqua;Chatwakwa;26159;153;2134;1347;26142;kwacha;awatch;kwacha;chat;chat
chautauqua;Chauetouequa;26137;1;4;1;93;chautauquan;chautauqua;haqueton;chautauqua;chaud
chautauqua;Chautakye;26306;1219;1;1;1;autarky;thackeray;chautauqua;chautauqua;chautauqua
chautauqua;Chautaqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chautauchua;26099;1;1;1;1;chautauquan;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chautiqua;1;3;1;1;9;chautauqua;aquatic;chautauqua;chautauqua;boutique
chautauqua;Chautogqwa;26193;76;35;20;18;tautog;acquight;tautog;tautog;tautog
chautauqua;Chautqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chawtakque;26198;105;3;1707;26105;chaeta;buckwheat;chaw;chaw;chaw
chautauqua;Chawtawque;26148;55;3;1668;26105;awatch;chateau;chaw;chaw;chaw
chautauqua;Cheautauqua;26109;1;1;1;1;chautauquan;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Chetdacowa;26862;17014;29148;28882;26194;coached;accoasted;cachet;cowal;cowal
chautauqua;Chetoquoi;26430;13438;2995;28888;26217;coquito;coquito;quoi;iroquois;iroquois
chautauqua;Chicahwa;26226;9796;24181;31155;26322;chicana;chicha;chica;chica;chica
chautauqua;Chictocua;27150;10608;4055;29740;26265;octastich;acoluthic;histochemic;chic;chic
chautauqua;Chicugta;26774;6212;2371;28582;26201;wichita;clauchting;wichita;chic;colchicum
chautauqua;Chistupa;27466;17919;34290;33040;26599;stupas;chupatis;stupa;stupa;stupa
chautauqua;Chitacque;181;1970;534;30307;26211;acquit;acquite;hitachi;hitachi;chita
chautauqua;Chitalka;26525;9439;3936;30353;26419;chital;calathi;chital;chital;chital
chautauqua;Chitalkwa;26422;10585;4209;30385;26417;chital;calathi;chital;chital;chital
chautauqua;Chitaqua;12;43;20;2136;26157;aquavit;aquatic;chita;chita;chita
chautauqua;Chitauqua;1;3;1;3;2;chautauqua;aquatic;chautauqua;chita;chita
chautauqua;Chitoqua;26370;735;212;1930;26154;coquito;acquight;chiton;chiton;chiton
chautauqua;Chittiqua;26411;1091;538;2652;26338;antiquity;acquitting;chitties;chitties;chitties
chautauqua;Chochatta;26408;5722;539;2622;26304;chattas;toccata;chatta;chatta;chatta
chautauqua;Chottago;26374;24473;2723;28685;26227;fagotto;chattanooga;chota;chott;chott
chautauqua;Chouativa;26437;2068;5674;36054;26979;ativan;vacuation;ativan;ativan;ativan
chautauqua;Chuatackqua;26103;1;59;2285;26172;hackmatacks;chautauqua;quack;quat;hackmatack
chautauqua;Chuatuaque;14;1;269;28250;26156;quechua;chautauqua;quechua;quechua;braque
chautauqua;Chuatuaton;26352;360;4472;30140;26265;actuation;tacahout;infatuation;actuator;actuator
chautauqua;Chutaciqwa;16;97;156;912;26145;parachute;autarchic;chut;chut;chut
chautauqua;Chutouko;26186;1528;2182;26999;26120;putchuk;bucktooth;chukor;shutout;shutout
chautauqua;Cuhtawa;26217;175;10219;26261;26104;cutaway;awatch;cutaway;tawa;tawa
chautauqua;Quatauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;Schtaka;26317;3967;880;26990;26120;takahe;hatracks;taka;taka;taka
chautauqua;Shatacua;30;48;301;28103;26172;cushat;acanthas;cushat;shat;caratacus
chautauqua;Shatakiwa;26268;7006;3043;27873;26147;latakia;kahawai;shakta;latakia;latakia
chautauqua;Shataqua;6;13;18;1672;26131;aquatinta;squamata;aquatinta;aqua;aqua
chautauqua;Shautalkwa;26199;1160;38;5;3;outwalk;talukas;outtalk;walkway;walkway
chautauqua;Shawtachwa;26137;550;391;28090;26284;hatchway;hatchways;kwacha;shaw;shaw
chautauqua;Shawtapwa;26150;3400;1630;27235;26147;wappenshaw;parathas;wappenshaw;shaw;shaw
chautauqua;Shawtowa;26171;21147;16256;27206;26173;stowaway;stowaway;shaw;shaw;shaw
chautauqua;Shitaka;26382;26510;19633;29049;26152;shiitake;kitharas;shiitake;shit;whitaker
chautauqua;Showtalkaw;26200;40597;23813;28187;26225;talkathon;walkathons;talkathon;talkable;talkable
chautauqua;Showtalkwa;26201;40597;24070;28204;26223;walkathon;walkathons;shopwalker;walkway;walkway
chautauqua;Showtucwa;26226;10163;45768;26799;26165;washout;outwash;show;show;show
chautauqua;catauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chacactur;624;936;4129;2644;26278;acture;autarchic;arracacha;acture;acture
chautauqua;chatacuia;137;113;661;1952;26177;achaia;autarchical;achaia;chat;caratacus
chautauqua;chataqua;2;1;5;111;26152;quatch;chautauqua;aquatinta;aqua;aqua
chautauqua;chataque;11;39;22;2133;26182;chatta;chateau;chatta;chat;chat
chautauqua;chatauchuia;26138;5;35;133;26209;khachaturian;autarchical;cachucha;cachucha;panchatantra
chautauqua;chatauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chautaucua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chautauqua;1;1;1;1;1;chautauqua;chautauqua;chautauqua;chautauqua;chautauqua
chautauqua;chetickway;27060;48761;34986;33056;26787;catechetic;haecceity;fetiches;catechetic;catechetic
chautauqua;chictique;27215;7834;5070;30933;26461;stichic;ischuretic;antique;antique;antique
chautauqua;chitacwa;26738;4830;3481;29490;26153;hitachi;awatch;hitachi;hitachi;chita
chautauqua;chitiquea;859;2378;4324;30922;26330;critique;halieutic;critique;critique;critique
chautauqua;chituaquea;43;11;365;29522;26300;queach;acquite;queach;aqueable;aqueable
chautauqua;chtoawa;26682;2291;14259;26394;26098;awatch;awatch;awatch;schtook;schtook
chautauqua;sechectaquka;26250;1326;459;30868;26412;unsectarian;earthquakes;ectases;chechen;chechen
chautauqua;shatakwa;26581;2321;2714;27681;26127;shakta;kajawahs;shakta;shat;shat
chautauqua;shtalkwa;26861;23284;19921;27604;26153;walkways;walkathons;walkway;walkway;walkway
chautauqua;sutalkway;26770;32146;2173;1297;26160;walkway;talukas;walkway;walkway;walkway
christ;crist;27757;4;21;21;24;crits;crits;crista;crista;crista
christian;christain;5;1;22;14;13;christina;christian;christ;christ;christ
christmas;chrismas;4;4;5;8;32;chrismal;archaisms;chrismal;chrismal;chrismal
christmas;Christ_mas;1;1;1;2;12;christmas;christmas;christmas;christ;christ
christmas;Christmis;1;5;2;2;2;christmas;chemistries;christ;christ;christ
christmas;Cristmus;7;47;27;9;8;trismus;rusticism;crista;crista;crista
christmas;cristmas;1;2;1;1;1;christmas;ceramists;christmas;christmas;christmas
cinderella;cinderrella;29026;1;1;1;1;cinderellas;cinderella;cinderella;cinderella;cinderella
dec;des.;0;0;0;0;0;des;des;des;des;des
december;decmber;1;3;1;1;61;december;cambered;december;december;amber
december;Desember;4;13;3;5;5;bessemer;besmeared;ember;ember;ember
dr;doc;48888;11206;53546;48922;48847;cod;cod;doc;doc;doc
dracula's;draculla's;0;0;0;0;0;dracula;claustral;dracula;dracula;dracula
dunstan's;dunstan;0;0;0;0;0;dunstan;dunstan;dunstan;dunstan;dunstan
easter;ester;51033;16;98;108;152;ester;ester;ester;ester;ester
easter;ester;51033;16;98;108;152;ester;ester;ester;ester;ester
eastwood;estwood;1;1;1;1;1;eastwood;eastwood;eastwood;eastwood;eastwood
english;ingish;106;235;177;1790;53789;hingis;hingis;hingis;hingis;hingis
english;inglish;3;42;3;3;3;tinglish;hidlings;tinglish;tinglish;tinglish
feb;fab;0;0;0;0;0;fab;fab;fab;fab;fab
february;febuary;1;1;1;1;5;february;february;february;february;actuary
february;Feburary;7;1;10;28;59713;rebury;february;rebury;buran;buran
february;feburay;41;1;815;628;59691;raeburn;february;raeburn;buran;buran
french;franch;37;23;95;751;64605;branch;franc;franc;franc;franc
french;feirne;66006;2239;79705;64732;64339;feiner;enfire;sweirness;sweirness;sweirness
french;fench;64373;2;17;15;15;chef;flench;enchafe;bench;bench
french;freach;11;55;48;425;64534;areach;chafer;reach;reach;reach
friday;firday;2;1;88;74;64472;sirdar;friday;sirdar;sirdar;sirdar
hallowe'en;hallowen;0;0;0;0;0;halloween;halloween;halloween;hallowed;hallowed
hitler;hitlar;4;41;6;3;3;titlark;alright;titlark;titlark;titlark
i;a;79101;138760;79101;79101;79101;aa;a;a;a;a
i;i;79124;1;1;1;1;a;i;i;i;i
i'd;i'de;4;56;15;3;3;dei;dei;de;de;de
i'd;I'ed;79104;56;7;3;3;de;dei;ed;ed;ed
i'd;I'ld;79102;29;3;2;2;dl;lid;i;i;i
i'll;ile;79379;673;93714;79656;79104;eli;eli;ile;ile;ile
i'll;Ill;79107;1;259;80456;79104;ill;i'll;ill;ill;ill
i'm;i'me;1;30;6;5;5;i'm;amie;i;i;i
i'm;I'n;79104;2014;5;5;5;a;in;i;i;i
i've;i'v;3;4;6;6;6;iv;iv;i;i;i
i've;Iev;79114;1;85096;79232;79105;vie;i've;kiev;kiev;a
indians;indian's;1;1;3;3;3;indians;indians;indian;indian;indian
ireland;irland;1;4;3;83;89;ireland;aldrin;land;garland;garland
irish;iresh;71;253;247;88241;85925;heirs;heirs;shires;ires;ires
january;januery;1;1;1;6;6;january;january;january;janus;janus
july;jaly;18;21;674;88227;88147;jay;jay;ally;paly;a
june;jun;2;2;1;1;88203;juan;juan;june;june;a
los_angeles;las_angles;0;0;0;0;0;angles;galleass;angles;angles;angles
mayfield;mayfeild;0;0;0;0;0;hayfield;dreamily;eild;eild;eild
mediterranean;meditterranean;1;1;1;1;1;mediterranean;mediterranean;mediterranean;mediterranean;mediterranean
miss;mis;19;19;5;5;103201;ism;ism;mis;mis;mis
monday;munday;5;10;12;13;19;sunday;maundy;munda;munda;munda
mr;mis;105879;22745;115582;106152;105759;ism;ism;mis;mis;mis
mr;Mrs;105770;14;2;105760;105760;mrs;mrs;mrs;mrs;mrs
mrs;miss;106000;3222;118988;106308;105833;isms;isms;miss;miss;miss
mrs;Mixss;105786;5508;112037;105782;105768;axis;sexism;mix;mix;a
mrs;Mr's;105768;1;5;105772;105772;a;mrs;mr;mr;mr
mrs;Mrss;105835;3;1;1;105768;smirs;smirs;mrs;mrs;a
october;octber;1;6;1;1;111745;october;botcher;october;october;a
pekinese;pikaness;899;702;6087;4974;121604;spikiness;pawkiness;spikiness;alkanes;alkanes
philip's;perllips;0;0;0;0;0;calliper;ripples;calliper;ellipse;ellipse
pyrenean;pyrannean;1;7;1;14;174;pyrenean;antennary;pyrenean;johannean;johannean
rolls;rowles;143914;792;8591;143772;142668;browless;lowers;browless;browless;browless
samaritan;samariton;1;60;1;1;1;samaritan;animators;samaritan;samaritan;samaritan
